cut,knife,hand me the knife to cut,0.970222340061692 -0.15527008453585037 -0.1643529695448815 0.8885537415422359 -0.19059160205958547 
cut,knife,give me the knife to cut,0.9702188490568686 -0.08121748184620145 0.24118578758532197 0.7474474448152328 -0.23488108214722417 
cut,knife,give me the knife to cut,0.5696002555655231 0.03710893716709594 0.33760734266956444 0.9292455680528957 0.27123380736542657 
cut,knife,hand me the knife to cut,0.7980063215002371 0.1352028601462496 0.10902665525929761 0.9912408597899884 -0.038588155842491825 
cut,knife,give me the knife to cut,0.9791070636794931 -0.32546560410508446 -0.2624681274334726 0.8690351501469352 0.3585126614270071 
cut,knife,hand me the knife to cut,0.9955209337914326 0.12160657420527372 0.19180657920618968 0.8687459890878557 0.23243759985598267 
cut,spoon,hand me the spoon to cut,0.8962268557090343 -0.19602811943122658 -0.009609819619258756 0.9420452722760821 -0.18191097730169525 
cut,spoon,get me the spoon to cut,0.7841133620066854 -0.06943208334386465 0.32090332764494933 0.9773781121321694 -0.1422603133444219 
cut,spoon,give me the spoon to cut,0.9331136915151137 -0.12175752872725304 0.2009987205135106 0.8777128677878079 -0.1623218795770552 
cut,spoon,hand me the spoon to cut,0.9591720381518424 0.2179914403031706 -0.13918955854801304 0.9686375623451837 0.13826610282227386 
cut,spoon,give me the spoon to cut,0.9801243155819357 -0.0281433313449263 0.22884424117761298 0.7988085025433143 0.20362892433625626 
cut,spoon,give me the spoon to cut,0.8538317009917886 0.08302355464163094 0.2501807120878901 0.6675370847868196 0.038398004678318796 
cut,fork,hand me the fork to cut,0.5680630831039558 0.058322145217643985 0.2622627818040978 0.5094423594017097 0.2925909600345644 
cut,fork,hand me the fork to cut,0.8786204926909899 0.26940570610816167 -0.008256900981938204 0.9013604307306842 0.2756024004695402 
cut,fork,give me the fork to cut,0.7279051611856469 0.05227943578699987 -0.03551112234720006 0.791175737513176 -0.24568590250648928 
cut,fork,give me the fork to cut,0.6686445971405374 0.10258573621855482 0.0353170580599447 0.9904856124392376 0.3738010814512707 
cut,fork,give me the fork to cut,0.7121518919532162 -0.3810346900561608 0.19512355824767003 0.6429314844584548 0.15169408395130152 
cut,fork,hand me the fork to cut,0.7731487297118406 -0.11245986614411775 0.3878690241622889 0.9649194590040001 -0.08737065936482073 
cut,scissors,hand me the scissors to cut,0.9816494081872642 0.1910461563025687 0.18340220571522461 0.01630643487316021 0.29262523091101456 
cut,scissors,give me the scissors to cut,0.6082128165673435 -0.101964455293532 0.2721210089352092 -0.3217114848141388 -0.0856514782396749 
cut,scissors,give me the scissors to cut,0.39933001863697615 -0.32540534672063265 -0.7639573289444221 0.1427120853667886 0.003013587027835486 
cut,scissors,give me the scissors to cut,0.9897234945474523 0.08711832663048898 0.4718152256390742 -0.6996965897912059 -0.04417415719187652 
cut,scissors,hand me the scissors to cut,0.712263435433582 0.25214831914422187 -0.16774545396728097 0.5021435669912458 -0.007701048082173413 
cut,scissors,hand me the scissors to cut,0.9267318187652726 -0.1551144126407935 0.19049650718580605 -0.04977235773580783 0.10135354363966459 
pour,pot,give me the pot to pour,-0.04435031321760448 0.9478065203073026 -0.021833914118014178 -0.13848153279347766 -0.2365016187082431 
pour,pot,give me the pot to pour,-0.13895034708984694 0.6035231797292164 0.15634790206313848 0.028169593990088098 0.05887912474514053 
pour,pot,hand me the pot to pour,-0.5077274278719374 0.8342264154906958 -0.13034345598544736 -0.6005411934412077 -0.21916768694695973 
pour,pot,give me the pot to pour,0.6235431739438 0.9711053273067832 -0.046504334044536855 -0.05017944042105694 0.009328362884546047 
